"accuracy";"batch_size";"init_momentum";"learning_rate";"layer_class";"dim";"dropout_prob";"layer_class";"dim";"dropout_prob";"cost_desc";"max_epochs";"config_id";"model_id";"ext_id";"train_id"
0.751953;16;0.5;0.0001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1500;70;8;3;7
0.75;64;0.5;0.001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;63;8;8;4
0.75;64;0.5;0.0001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;56;8;3;3
0.748047;64;0.5;0.001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;62;8;7;4
0.748047;64;0.1;0.0001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;65;8;7;5
0.746094;64;0.1;0.0001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;66;8;8;5
0.746094;128;0.5;0.0001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1500;72;8;3;7
0.746094;64;0.1;0.0001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;64;8;6;5
0.740234;64;0.5;0.0001;"rectifiedlinear";2000;0.2;"softmax";7;0.5;"mlp:cost_from_X";1500;67;7;3;7
0.740234;64;0.5;0.0001;"rectifiedlinear";2000;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;55;7;3;3
0.738281;8;0.5;0.001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;53;4;3;4
0.736328;64;0.1;0.0001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;57;4;3;5
0.736328;32;0.5;0.0001;"rectifiedlinear";2500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1500;71;8;3;7
0.734375;64;0.5;0.0001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;45;4;3;3
0.730469;64;0.5;1e-05;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;2;1;3;1
0.730469;16;0.5;0.0001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;43;4;3;3
0.730469;32;0.5;1e-06;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;5;1;3;2
0.730469;64;0.5;0.001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;58;4;2;4
0.728516;64;0.5;0.001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;59;4;1;4
0.728516;16;0.5;1e-06;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;4;1;3;2
0.728516;16;0.5;1e-05;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;37;4;3;1
0.726562;16;0.5;1e-06;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;40;4;3;2
0.726562;32;0.5;1e-05;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;38;4;3;1
0.726562;128;0.5;1e-05;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;46;1;3;1
0.726562;8;0.5;0.0001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;51;4;3;3
0.726562;16;0.5;0.001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;52;4;3;4
0.724609;32;0.5;0.0001;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;44;4;3;3
0.724609;32;0.5;1e-05;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;1;1;3;1
0.722656;64;0.5;1e-06;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;6;1;3;2
0.720703;64;0.5;1e-05;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;39;4;3;1
0.716797;32;0.5;0.0001;"rectifiedlinear";1000;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;17;2;3;3
0.716797;16;0.5;0.0001;"rectifiedlinear";1000;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;16;2;3;3
0.716797;16;0.5;1e-05;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;3;1;3;1
0.716797;32;0.5;1e-06;"rectifiedlinear";1500;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;41;4;3;2
0.714844;32;0.5;0.0001;"rectifiedlinear";500;;"softmax";7;;"mlp:cost_from_X";1000;8;1;3;3
